Model,Epoch,Loss,Accuracy
SimpleCNN,1,0.49254823112487794,0.754
SimpleCNN,2,0.3617530610561371,0.843
SimpleCNN,3,0.2889870063662529,0.879
Model,Epoch,Loss,Accuracy
ResNet,1,0.06482110802270472,0.97625
ResNet,2,0.005879334013676271,0.99825
ResNet,3,0.0044379455428570505,0.999
Model,Epoch,Loss,Accuracy
EfficientNet,1,0.17917833031713962,0.9435
EfficientNet,2,0.023340241892263292,0.9965
EfficientNet,3,0.008499242313206196,0.999
